method,batch_size,transaction_size,concurrent,concurrency,total_duration
deleteinsert,500,10,true,2,4739311507
onduplicate,500,10,true,5,1542073917
updatecase,500,10,true,5,1163173415
deleteinsert,500,10,true,5,2590983870
onduplicate,500,10,true,10,1058393837
updatecase,500,10,true,10,679165779
deleteinsert,500,10,true,10,2250342978
onduplicate,500,10,true,20,1091863481
updatecase,500,10,true,20,532027067
deleteinsert,500,10,true,20,2087686261
onduplicate,500,10,true,50,1221947452
updatecase,500,10,true,50,538798931
deleteinsert,500,10,true,50,2119589211
onduplicate,500,10,true,100,1245121138
updatecase,500,10,true,100,594946235
deleteinsert,500,10,true,100,2396058262
onduplicate,500,100,false,1,6076163955
updatecase,500,100,false,1,5029662040
deleteinsert,500,100,false,1,8138423883
onduplicate,500,100,true,1,6018986008
updatecase,500,100,true,1,5047569808
deleteinsert,500,100,true,1,8081126724
onduplicate,500,100,true,2,3208655763
updatecase,500,100,true,2,2916865457
deleteinsert,500,100,true,2,4676882153
onduplicate,500,100,true,5,1554049347
updatecase,500,100,true,5,1135105215
deleteinsert,500,100,true,5,2713006212
onduplicate,500,100,true,10,1072420605
updatecase,500,100,true,10,690465515
deleteinsert,500,100,true,10,2144506362
onduplicate,500,100,true,20,1088098787
updatecase,500,100,true,20,484226259
deleteinsert,500,100,true,20,2062739700
onduplicate,500,100,true,50,1227936984
updatecase,500,100,true,50,568356283
deleteinsert,500,100,true,50,2339111938
onduplicate,500,100,true,100,1345727253
updatecase,500,100,true,100,647057228
deleteinsert,500,100,true,100,2416814664
onduplicate,1000,1,false,1,6324551414
updatecase,1000,1,false,1,6808708397
deleteinsert,1000,1,false,1,8340801911
collectjoin,1000,1,false,1,2916201420
onduplicate,1000,1,true,1,6433827827
updatecase,1000,1,true,1,6634293737
deleteinsert,1000,1,true,1,8565233564
collectjoin,1000,1,true,1,2987156800
onduplicate,1000,1,true,2,3519504412
updatecase,1000,1,true,2,3504009614
deleteinsert,1000,1,true,2,4793659957
collectjoin,1000,1,true,2,2262304315
onduplicate,1000,1,true,5,1496040855
updatecase,1000,1,true,5,1488883022
deleteinsert,1000,1,true,5,3009627660
collectjoin,1000,1,true,5,1944484194
onduplicate,1000,1,true,10,1062252124
updatecase,1000,1,true,10,811411109
deleteinsert,1000,1,true,10,2258287984
collectjoin,1000,1,true,10,1766344065
onduplicate,1000,1,true,20,999624421
updatecase,1000,1,true,20,683326794
deleteinsert,1000,1,true,20,2325600436
collectjoin,1000,1,true,20,1770482708
onduplicate,1000,1,true,50,1129657893
updatecase,1000,1,true,50,634547316
deleteinsert,1000,1,true,50,2400487631
collectjoin,1000,1,true,50,1759189054
onduplicate,1000,1,true,100,1324525485
updatecase,1000,1,true,100,635977206
deleteinsert,1000,1,true,100,2645288554
collectjoin,1000,1,true,100,1743774656
onduplicate,1000,10,false,1,6134175681
updatecase,1000,10,false,1,6242407414
deleteinsert,1000,10,false,1,8318042398
onduplicate,1000,10,true,1,6014461679
updatecase,1000,10,true,1,6442588330
deleteinsert,1000,10,true,1,8186344756
onduplicate,1000,10,true,2,3357832097
updatecase,1000,10,true,2,3409534986
deleteinsert,1000,10,true,2,4735180198
onduplicate,1000,10,true,5,1508501054
updatecase,1000,10,true,5,1417148857
deleteinsert,1000,10,true,5,2757621430
onduplicate,1000,10,true,10,1007181574
updatecase,1000,10,true,10,733217317
deleteinsert,1000,10,true,10,2283587883
onduplicate,1000,10,true,20,1128680857
updatecase,1000,10,true,20,647933665
deleteinsert,1000,10,true,20,2202986522
onduplicate,1000,10,true,50,1379549014
updatecase,1000,10,true,50,626585332
deleteinsert,1000,10,true,50,2408918627
onduplicate,1000,10,true,100,1364078964
updatecase,1000,10,true,100,639164192
deleteinsert,1000,10,true,100,2551560896
onduplicate,1000,100,false,1,6210085990
updatecase,1000,100,false,1,6508545278
deleteinsert,1000,100,false,1,8042498719
onduplicate,1000,100,true,1,5984356678
updatecase,1000,100,true,1,6412689843
deleteinsert,1000,100,true,1,7939119136
onduplicate,1000,100,true,2,3282933090
updatecase,1000,100,true,2,3368381885
deleteinsert,1000,100,true,2,4367309431
onduplicate,1000,100,true,5,1461098763
updatecase,1000,100,true,5,1419235043
deleteinsert,1000,100,true,5,2686760281
onduplicate,1000,100,true,10,1189705849
updatecase,1000,100,true,10,805590648
deleteinsert,1000,100,true,10,2272759996
onduplicate,1000,100,true,20,1094993057
updatecase,1000,100,true,20,597851996
deleteinsert,1000,100,true,20,2214318102
onduplicate,1000,100,true,50,1311595621
updatecase,1000,100,true,50,624286226
deleteinsert,1000,100,true,50,2322084153
onduplicate,1000,100,true,100,1384092754
updatecase,1000,100,true,100,636469705
deleteinsert,1000,100,true,100,2661374753
